#,0,骷髅,,竟然有人能够从牢房里逃出来，这可真是少见。,1
#,1,骷髅,,是不是觉得很奇怪，为什么我只剩下了骨头却还能说话？,2
&,2,,,是因为魔法吗?,4
&,3,,,.................,5
#,4,骷髅,,没错，我们所在的这个城堡，充满着未知地魔法气息。,6
#,5,骷髅,,我们所在的这个城堡，充满着未知地魔法气息。,6
#,6,骷髅,,正因为这里充盈的魔法气息，才使得我能够以这种方式活下来。,7
#,7,骷髅,,可是这股魔法气息貌似对活着的人有害。,8
#,8,骷髅,,城堡内大部分人，都因为这股魔法气息发了疯，他们不分敌友地攻击，直至自己死亡。,9
#,9,骷髅,,只有少数人能够免受魔法的侵蚀，保持理智，从而幸免于难。,10
#,10,骷髅,,是她带我到这片独立于城堡的空间避难。,11
#,11,骷髅,,虽然我现在也不会再死去了。。,12
&,12,,,。。。,14
&,13,,,。。。。。。,14
#,14,骷髅,,不说这些了。我希望你能帮我个忙。,15
#,15,骷髅,,我希望你能清除这个城堡中的这股诡异的魔法气息。,16
#,16,骷髅,,你能够从地牢中逃生，又能够在这股诡异的魔法气息中保持理智。,17
#,17,骷髅,,这样看来，只有你有能力清除这个城堡中的不明魔法气息，解救城堡中的人们。,18
&,18,,,好吧，我接受。,19
END,19,,,,
